frame,time,source_lower,source_upper,alpha
79,2.6,2.6,2.6500000000000004,0.0
80,2.6333333333333333,2.6,2.6500000000000004,0.6666666666666607
81,2.6666666666666665,2.6500000000000004,2.7,0.33333333333332443
82,2.7,2.7,2.75,0.0
83,2.7333333333333334,2.7,2.75,0.6666666666666666
84,2.7666666666666666,2.75,2.8000000000000003,0.3333333333333304
85,2.8,2.8000000000000003,2.85,0.0
86,2.8333333333333335,2.8000000000000003,2.85,0.6666666666666666
87,2.8666666666666667,2.85,2.9000000000000004,0.3333333333333304
88,2.9,2.9000000000000004,2.95,0.0
89,2.933333333333333,2.9000000000000004,2.95,0.6666666666666577
90,2.966666666666667,2.95,3,0.3333333333333333
91,3.0,3,3.0500000000000003,0.0
92,3.033333333333333,3,3.0500000000000003,0.6666666666666607
93,3.066666666666667,3.0500000000000003,3.1,0.3333333333333333
94,3.1,3.1,3.1500000000000004,0.0
95,3.1333333333333333,3.1,3.1500000000000004,0.6666666666666607
96,3.1666666666666665,3.1500000000000004,3.2,0.33333333333332443
97,3.2,3.2,3.25,0.0
98,3.2333333333333334,3.2,3.25,0.6666666666666666
99,3.2666666666666666,3.25,3.3000000000000003,0.3333333333333304
100,3.3,3.3000000000000003,3.35,0.0
101,3.3333333333333335,3.3000000000000003,3.35,0.6666666666666666
102,3.3666666666666667,3.35,3.4000000000000004,0.3333333333333304
103,3.4,3.4000000000000004,3.45,0.0
104,3.433333333333333,3.4000000000000004,3.45,0.6666666666666577
105,3.466666666666667,3.45,3.5,0.3333333333333333
106,3.5,3.5,3.5500000000000003,0.0
107,3.533333333333333,3.5,3.5500000000000003,0.6666666666666607
108,3.566666666666667,3.5500000000000003,3.6,0.3333333333333333
109,3.6,3.6,3.6500000000000004,0.0
110,3.6333333333333333,3.6,3.6500000000000004,0.6666666666666607
111,3.6666666666666665,3.6500000000000004,3.7,0.33333333333332443
112,3.7,3.7,3.75,0.0
113,3.7333333333333334,3.7,3.75,0.6666666666666666
